          Format            YIELD 
            Name              n30 
            Unit        #/sr/hist 
            Part          Neutron 

          Emin           Emax          Value    Uncertainty 
      1.000000       1.023293   1.557004e-04       0.025229 
      1.023293       1.047129   1.618452e-04       0.024746 
      1.047129       1.071519   1.696748e-04       0.024168 
      1.071519       1.096478   1.759187e-04       0.023735 
      1.096478       1.122018   1.851358e-04       0.023137 
      1.122018       1.148154   1.907850e-04       0.022792 
      1.148154       1.174898   1.880100e-04       0.022959 
      1.174898       1.202264   1.991102e-04       0.022310 
      1.202264       1.230269   2.088229e-04       0.021785 
      1.230269       1.258925   2.113006e-04       0.021657 
      1.258925       1.288250   2.197249e-04       0.021238 
      1.288250       1.318257   2.225991e-04       0.021100 
      1.318257       1.348963   2.278519e-04       0.020856 
      1.348963       1.380384   2.410334e-04       0.020277 
      1.380384       1.412538   2.399432e-04       0.020323 
      1.412538       1.445440   2.517372e-04       0.019842 
      1.445440       1.479108   2.647204e-04       0.019349 
      1.479108       1.513561   2.666035e-04       0.019280 
      1.513561       1.548817   2.887049e-04       0.018528 
      1.548817       1.584893   2.896959e-04       0.018496 
      1.584893       1.621810   2.846414e-04       0.018660 
      1.621810       1.659587   3.141759e-04       0.017761 
      1.659587       1.698244   3.110044e-04       0.017851 
      1.698244       1.737801   3.198251e-04       0.017603 
      1.737801       1.778279   3.276547e-04       0.017392 
      1.778279       1.819701   3.362772e-04       0.017167 
      1.819701       1.862087   3.484677e-04       0.016864 
      1.862087       1.905461   3.676948e-04       0.016417 
      1.905461       1.949845   3.761191e-04       0.016233 
      1.949845       1.995262   3.861291e-04       0.016021 
      1.995262       2.041738   4.024821e-04       0.015692 
      2.041738       2.089296   3.971302e-04       0.015797 
      2.089296       2.137962   4.221057e-04       0.015323 
      2.137962       2.187762   4.403418e-04       0.015002 
      2.187762       2.238721   4.407382e-04       0.014995 
      2.238721       2.290868   4.513429e-04       0.014818 
      2.290868       2.344229   4.690834e-04       0.014535 
      2.344229       2.398833   4.885088e-04       0.014243 
      2.398833       2.454709   4.945545e-04       0.014156 
      2.454709       2.511886   4.924732e-04       0.014186 
      2.511886       2.570396   5.446046e-04       0.013490 
      2.570396       2.630268   5.453975e-04       0.013480 
      2.630268       2.691535   5.611558e-04       0.013289 
      2.691535       2.754229   5.644264e-04       0.013251 
      2.754229       2.818383   5.733462e-04       0.013147 
      2.818383       2.884032   5.818696e-04       0.013051 
