          Format            YIELD 
            Name              n10 
            Unit        #/sr/hist 
            Part          Neutron 

          Emin           Emax          Value    Uncertainty 
      1.000000       1.023293   6.468612e-04       0.023682 
      1.023293       1.047129   6.388797e-04       0.023830 
      1.047129       1.071519   6.682660e-04       0.023300 
      1.071519       1.096478   6.940244e-04       0.022863 
      1.096478       1.122018   7.317549e-04       0.022266 
      1.122018       1.148154   7.306665e-04       0.022283 
      1.148154       1.174898   7.658575e-04       0.021765 
      1.174898       1.202264   7.934298e-04       0.021383 
      1.202264       1.230269   7.818204e-04       0.021541 
      1.230269       1.258925   8.482117e-04       0.020681 
      1.258925       1.288250   8.765096e-04       0.020344 
      1.288250       1.318257   8.982772e-04       0.020096 
      1.318257       1.348963   9.291147e-04       0.019760 
      1.348963       1.380384   9.621289e-04       0.019418 
      1.380384       1.412538   9.606777e-04       0.019433 
      1.412538       1.445440   9.719243e-04       0.019320 
      1.445440       1.479108   9.940548e-04       0.019104 
      1.479108       1.513561   9.991339e-04       0.019055 
      1.513561       1.548817       0.001055       0.018544 
      1.548817       1.584893       0.001082       0.018312 
      1.584893       1.621810       0.001102       0.018143 
      1.621810       1.659587       0.001153       0.017741 
      1.659587       1.698244       0.001167       0.017633 
      1.698244       1.737801       0.001201       0.017379 
      1.737801       1.778279       0.001231       0.017170 
      1.778279       1.819701       0.001292       0.016755 
      1.819701       1.862087       0.001273       0.016881 
      1.862087       1.905461       0.001306       0.016669 
      1.905461       1.949845       0.001329       0.016520 
      1.949845       1.995262       0.001373       0.016256 
      1.995262       2.041738       0.001417       0.016000 
      2.041738       2.089296       0.001437       0.015887 
      2.089296       2.137962       0.001438       0.015885 
      2.137962       2.187762       0.001501       0.015547 
      2.187762       2.238721       0.001534       0.015379 
      2.238721       2.290868       0.001591       0.015099 
      2.290868       2.344229       0.001572       0.015190 
      2.344229       2.398833       0.001651       0.014825 
      2.398833       2.454709       0.001690       0.014653 
      2.454709       2.511886       0.001723       0.014511 
      2.511886       2.570396       0.001707       0.014577 
      2.570396       2.630268       0.001776       0.014294 
      2.630268       2.691535       0.001800       0.014197 
      2.691535       2.754229       0.001875       0.013911 
      2.754229       2.818383       0.001879       0.013894 
      2.818383       2.884032       0.001965       0.013589 
      2.884032       2.951209       0.001994       0.013487 
      2.951209       3.019952       0.002039       0.013340 
      3.019952       3.090295       0.002110       0.013113 
      3.090295       3.162278       0.002150       0.012990 
      3.162278       3.235937       0.002172       0.012924 
      3.235937       3.311311       0.002154       0.012977 
      3.311311       3.388442       0.002224       0.012771 
      3.388442       3.467369       0.002318       0.012509 
      3.467369       3.548134       0.002364       0.012388 
      3.548134       3.630781       0.002370       0.012373 
      3.630781       3.715352       0.002488       0.012075 
      3.715352       3.801894       0.002522       0.011994 
      3.801894       3.890451       0.002585       0.011847 
      3.890451       3.981072       0.002623       0.011759 
      3.981072       4.073803       0.002673       0.011649 
      4.073803       4.168694       0.002676       0.011644 
      4.168694       4.265795       0.002718       0.011553 
      4.265795       4.365158       0.002834       0.011314 
      4.365158       4.466836       0.002862       0.011258 
      4.466836       4.570882       0.002920       0.011145 
      4.570882       4.677351       0.002984       0.011027 
      4.677351       4.786301       0.003068       0.010874 
      4.786301       4.897788       0.003216       0.010621 
      4.897788       5.011872       0.003217       0.010620 
      5.011872       5.128614       0.003231       0.010597 
      5.128614       5.248075       0.003399       0.010330 
      5.248075       5.370318       0.003359       0.010392 
      5.370318       5.495409       0.003466       0.010230 
      5.495409       5.623413       0.003528       0.010140 
      5.623413       5.754399       0.003591       0.010051 
      5.754399       5.888437       0.003689       0.009917 
      5.888437       6.025596       0.003723       0.009871 
      6.025596       6.165950       0.003819       0.009746 
      6.165950       6.309573       0.003876       0.009674 
      6.309573       6.456542       0.003868       0.009684 
      6.456542       6.606934       0.003990       0.009535 
      6.606934       6.760830       0.004055       0.009458 
      6.760830       6.918310       0.004079       0.009430 
      6.918310       7.079458       0.004179       0.009316 
      7.079458       7.244360       0.004208       0.009285 
      7.244360       7.413102       0.004360       0.009122 
      7.413102       7.585776       0.004368       0.009113 
      7.585776       7.762471       0.004427       0.009052 
      7.762471       7.943282       0.004559       0.008920 
      7.943282       8.128305       0.004552       0.008927 
      8.128305       8.317638       0.004658       0.008825 
      8.317638       8.511380       0.004777       0.008714 
      8.511380       8.709636       0.004783       0.008709 
      8.709636       8.912509       0.004912       0.008593 
      8.912509       9.120108       0.004932       0.008576 
      9.120108       9.332543       0.005008       0.008511 
      9.332543       9.549926       0.005166       0.008380 
      9.549926       9.772372       0.005173       0.008374 
      9.772372      10.000000       0.005271       0.008296 
     10.000000      10.232930       0.005334       0.008247 
     10.232930      10.471285       0.005350       0.008234 
     10.471285      10.715193       0.005407       0.008191 
     10.715193      10.964782       0.005340       0.008242 
     10.964782      11.220185       0.005530       0.008099 
     11.220185      11.481536       0.005587       0.008057 
     11.481536      11.748976       0.005702       0.007976 
     11.748976      12.022644       0.005684       0.007989 
     12.022644      12.302688       0.005730       0.007956 
     12.302688      12.589254       0.005850       0.007875 
     12.589254      12.882496       0.005947       0.007810 
     12.882496      13.182567       0.005874       0.007858 
     13.182567      13.489629       0.005985       0.007785 
     13.489629      13.803843       0.006095       0.007715 
     13.803843      14.125375       0.006069       0.007731 
     14.125375      14.454398       0.006173       0.007665 
     14.454398      14.791084       0.006141       0.007686 
     14.791084      15.135612       0.006138       0.007688 
     15.135612      15.488166       0.006191       0.007654 
     15.488166      15.848932       0.006282       0.007598 
     15.848932      16.218101       0.006241       0.007624 
     16.218101      16.595869       0.006348       0.007559 
     16.595869      16.982437       0.006266       0.007609 
     16.982437      17.378008       0.006337       0.007566 
     17.378008      17.782794       0.006382       0.007539 
