          Format            YIELD 
            Name               n5 
            Unit        #/sr/hist 
            Part          Neutron 

          Emin           Emax          Value    Uncertainty 
      1.000000       1.023293   6.606633e-04       0.033077 
      1.023293       1.047129   6.946361e-04       0.032258 
      1.047129       1.071519   7.387285e-04       0.031280 
      1.071519       1.096478   6.888535e-04       0.032393 
      1.096478       1.122018   7.488481e-04       0.031068 
      1.122018       1.148154   7.517394e-04       0.031009 
      1.148154       1.174898   7.987231e-04       0.030083 
      1.174898       1.202264   7.987231e-04       0.030083 
      1.202264       1.230269   7.886035e-04       0.030275 
      1.230269       1.258925   8.652231e-04       0.028903 
      1.258925       1.288250   8.594405e-04       0.029001 
      1.288250       1.318257   8.493209e-04       0.029173 
      1.318257       1.348963   9.367829e-04       0.027778 
      1.348963       1.380384   8.825710e-04       0.028618 
      1.380384       1.412538   9.555764e-04       0.027503 
      1.412538       1.445440   9.765384e-04       0.027206 
      1.445440       1.479108   9.635275e-04       0.027389 
      1.479108       1.513561       0.001051       0.026225 
      1.513561       1.548817       0.001052       0.026207 
      1.548817       1.584893       0.001063       0.026082 
      1.584893       1.621810       0.001091       0.025743 
      1.621810       1.659587       0.001133       0.025254 
      1.659587       1.698244       0.001114       0.025474 
      1.698244       1.737801       0.001190       0.024648 
      1.737801       1.778279       0.001208       0.024463 
      1.778279       1.819701       0.001261       0.023939 
      1.819701       1.862087       0.001290       0.023675 
      1.862087       1.905461       0.001344       0.023193 
      1.905461       1.949845       0.001391       0.022798 
      1.949845       1.995262       0.001372       0.022953 
      1.995262       2.041738       0.001429       0.022490 
      2.041738       2.089296       0.001400       0.022721 
      2.089296       2.137962       0.001508       0.021895 
      2.137962       2.187762       0.001519       0.021816 
      2.187762       2.238721       0.001549       0.021602 
      2.238721       2.290868       0.001592       0.021305 
      2.290868       2.344229       0.001615       0.021157 
      2.344229       2.398833       0.001652       0.020915 
      2.398833       2.454709       0.001652       0.020915 
      2.454709       2.511886       0.001756       0.020290 
      2.511886       2.570396       0.001762       0.020257 
      2.570396       2.630268       0.001850       0.019764 
      2.630268       2.691535       0.001846       0.019787 
      2.691535       2.754229       0.001849       0.019772 
      2.754229       2.818383       0.001869       0.019664 
      2.818383       2.884032       0.001932       0.019342 
      2.884032       2.951209       0.001978       0.019118 
      2.951209       3.019952       0.002028       0.018881 
      3.019952       3.090295       0.002189       0.018173 
      3.090295       3.162278       0.002187       0.018182 
      3.162278       3.235937       0.002193       0.018155 
      3.235937       3.311311       0.002208       0.018092 
      3.311311       3.388442       0.002218       0.018051 
      3.388442       3.467369       0.002277       0.017817 
      3.467369       3.548134       0.002360       0.017501 
      3.548134       3.630781       0.002436       0.017226 
      3.630781       3.715352       0.002471       0.017104 
      3.715352       3.801894       0.002540       0.016869 
      3.801894       3.890451       0.002620       0.016611 
      3.890451       3.981072       0.002684       0.016411 
      3.981072       4.073803       0.002689       0.016395 
      4.073803       4.168694       0.002708       0.016338 
      4.168694       4.265795       0.002757       0.016192 
      4.265795       4.365158       0.002826       0.015992 
      4.365158       4.466836       0.002825       0.015996 
      4.466836       4.570882       0.002988       0.015553 
      4.570882       4.677351       0.002925       0.015721 
      4.677351       4.786301       0.003063       0.015361 
      4.786301       4.897788       0.003194       0.015043 
      4.897788       5.011872       0.003162       0.015118 
      5.011872       5.128614       0.003368       0.014650 
      5.128614       5.248075       0.003350       0.014690 
      5.248075       5.370318       0.003424       0.014529 
      5.370318       5.495409       0.003431       0.014515 
      5.495409       5.623413       0.003538       0.014294 
      5.623413       5.754399       0.003613       0.014145 
      5.754399       5.888437       0.003606       0.014157 
      5.888437       6.025596       0.003764       0.013858 
      6.025596       6.165950       0.003764       0.013858 
      6.165950       6.309573       0.003826       0.013745 
      6.309573       6.456542       0.003923       0.013574 
      6.456542       6.606934       0.004072       0.013323 
      6.606934       6.760830       0.004090       0.013294 
      6.760830       6.918310       0.004140       0.013214 
      6.918310       7.079458       0.004192       0.013130 
      7.079458       7.244360       0.004336       0.012911 
      7.244360       7.413102       0.004249       0.013043 
      7.413102       7.585776       0.004265       0.013017 
      7.585776       7.762471       0.004495       0.012680 
      7.762471       7.943282       0.004500       0.012673 
      7.943282       8.128305       0.004595       0.012542 
      8.128305       8.317638       0.004622       0.012504 
      8.317638       8.511380       0.004626       0.012500 
      8.511380       8.709636       0.004702       0.012398 
      8.709636       8.912509       0.004937       0.012100 
      8.912509       9.120108       0.004957       0.012075 
      9.120108       9.332543       0.005114       0.011888 
      9.332543       9.549926       0.005068       0.011942 
      9.549926       9.772372       0.005175       0.011818 
      9.772372      10.000000       0.005229       0.011757 
     10.000000      10.232930       0.005245       0.011739 
     10.232930      10.471285       0.005383       0.011588 
     10.471285      10.715193       0.005339       0.011635 
     10.715193      10.964782       0.005467       0.011498 
     10.964782      11.220185       0.005604       0.011357 
     11.220185      11.481536       0.005575       0.011386 
     11.481536      11.748976       0.005715       0.011245 
     11.748976      12.022644       0.005739       0.011222 
     12.022644      12.302688       0.005802       0.011161 
     12.302688      12.589254       0.005819       0.011145 
     12.589254      12.882496       0.005959       0.011013 
     12.882496      13.182567       0.005931       0.011039 
     13.182567      13.489629       0.006122       0.010866 
     13.489629      13.803843       0.006108       0.010878 
     13.803843      14.125375       0.006189       0.010807 
     14.125375      14.454398       0.006035       0.010944 
     14.454398      14.791084       0.006140       0.010849 
     14.791084      15.135612       0.006260       0.010745 
     15.135612      15.488166       0.006126       0.010862 
     15.488166      15.848932       0.006236       0.010766 
     15.848932      16.218101       0.006317       0.010697 
     16.218101      16.595869       0.006314       0.010699 
     16.595869      16.982437       0.006349       0.010670 
     16.982437      17.378008       0.006283       0.010726 
