          Format            YIELD 
            Name              a45 
            Unit        #/sr/hist 
            Part      Generic Ion 

          Emin           Emax          Value    Uncertainty 
      1.000000       1.023293   3.155322e-04       0.008227 
      1.023293       1.047129   3.214067e-04       0.008152 
      1.047129       1.071519   3.253799e-04       0.008102 
      1.071519       1.096478   3.229020e-04       0.008133 
      1.096478       1.122018   3.276015e-04       0.008074 
      1.122018       1.148154   3.355694e-04       0.007978 
      1.148154       1.174898   3.384319e-04       0.007944 
      1.174898       1.202264   3.378551e-04       0.007951 
      1.202264       1.230269   3.429178e-04       0.007892 
      1.230269       1.258925   3.492622e-04       0.007820 
      1.258925       1.288250   3.502662e-04       0.007809 
      1.288250       1.318257   3.530218e-04       0.007778 
      1.318257       1.348963   3.537909e-04       0.007770 
      1.348963       1.380384   3.601566e-04       0.007701 
      1.380384       1.412538   3.603702e-04       0.007698 
      1.412538       1.445440   3.669923e-04       0.007629 
      1.445440       1.479108   3.628695e-04       0.007672 
      1.479108       1.513561   3.608615e-04       0.007693 
      1.513561       1.548817   3.614169e-04       0.007687 
      1.548817       1.584893   3.615878e-04       0.007686 
      1.584893       1.621810   3.645144e-04       0.007655 
      1.621810       1.659587   3.637667e-04       0.007662 
      1.659587       1.698244   3.575291e-04       0.007729 
      1.698244       1.737801   3.615665e-04       0.007686 
      1.737801       1.778279   3.534704e-04       0.007773 
      1.778279       1.819701   3.480019e-04       0.007834 
      1.819701       1.862087   3.489418e-04       0.007824 
      1.862087       1.905461   3.447763e-04       0.007871 
      1.905461       1.949845   3.413370e-04       0.007910 
      1.949845       1.995262   3.400767e-04       0.007925 
      1.995262       2.041738   3.392863e-04       0.007934 
      2.041738       2.089296   3.333051e-04       0.008005 
      2.089296       2.137962   3.314680e-04       0.008027 
      2.137962       2.187762   3.278365e-04       0.008072 
      2.187762       2.238721   3.208513e-04       0.008159 
      2.238721       2.290868   3.238633e-04       0.008121 
      2.290868       2.344229   3.200822e-04       0.008169 
      2.344229       2.398833   3.171771e-04       0.008206 
      2.398833       2.454709   3.111958e-04       0.008285 
      2.454709       2.511886   3.055564e-04       0.008361 
      2.511886       2.570396   3.041465e-04       0.008380 
      2.570396       2.630268   3.054496e-04       0.008362 
      2.630268       2.691535   2.944697e-04       0.008517 
      2.691535       2.754229   2.967554e-04       0.008484 
      2.754229       2.818383   2.916927e-04       0.008557 
      2.818383       2.884032   2.904964e-04       0.008575 
      2.884032       2.951209   2.850919e-04       0.008656 
      2.951209       3.019952   2.842802e-04       0.008668 
      3.019952       3.090295   2.809905e-04       0.008719 
      3.090295       3.162278   2.822081e-04       0.008700 
      3.162278       3.235937   2.755860e-04       0.008804 
      3.235937       3.311311   2.762269e-04       0.008793 
      3.311311       3.388442   2.728304e-04       0.008848 
      3.388442       3.467369   2.730654e-04       0.008844 
      3.467369       3.548134   2.668919e-04       0.008946 
      3.548134       3.630781   2.650761e-04       0.008976 
      3.630781       3.715352   2.622137e-04       0.009025 
      3.715352       3.801894   2.604834e-04       0.009055 
      3.801894       3.890451   2.582404e-04       0.009094 
      3.890451       3.981072   2.526223e-04       0.009195 
      3.981072       4.073803   2.515542e-04       0.009215 
      4.073803       4.168694   2.507425e-04       0.009229 
      4.168694       4.265795   2.451671e-04       0.009334 
      4.265795       4.365158   2.436932e-04       0.009362 
      4.365158       4.466836   2.400403e-04       0.009433 
      4.466836       4.570882   2.330337e-04       0.009574 
      4.570882       4.677351   2.296799e-04       0.009643 
      4.677351       4.786301   2.289537e-04       0.009659 
      4.786301       4.897788   2.266466e-04       0.009708 
      4.897788       5.011872   2.185292e-04       0.009886 
      5.011872       5.128614   2.173757e-04       0.009913 
      5.128614       5.248075   2.160299e-04       0.009943 
      5.248075       5.370318   2.084465e-04       0.010123 
      5.370318       5.495409   2.056909e-04       0.010190 
      5.495409       5.623413   1.996242e-04       0.010344 
      5.623413       5.754399   1.957364e-04       0.010446 
      5.754399       5.888437   1.890502e-04       0.010629 
